02 · Elements / Inventory Items,,,,,,,
"Registra qué existe. Type usa el baseline M0 congelado. Family se deja libre porque es una taxonomía extensible, no una lista cerrada.",,,,,,,
,,,,,,,
element_id_ref,name,type,family,brand,source,provenance,notes
E001,Coca-cola,BRAND,Food & Beverage,Coca-Cola,IMPORTED,Legacy Project 12 object_id=6; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E002,Vestido acampanado de popelina con estampado de amapolas,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=9; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E003,Chal mariposas y flores blanco,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=11; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E004,Daily8 Water Jug,PRODUCT,Home & Living,Daily8,IMPORTED,Legacy Project 12 object_id=15; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E005,Neon Check Blazer,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=16; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E006,Delvaux for Gucci,PRODUCT,Fashion,Gucci,IMPORTED,Legacy Project 12 object_id=17; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E007,Alpha Handbag,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=18; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E008,Guess GU8234-32E,PRODUCT,Fashion,Guess,IMPORTED,Legacy Project 12 object_id=19; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E009,Restaurant Terra Nera,PLACE,Location,,IMPORTED,Legacy Project 12 object_id=20; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E010,Place de l ´estrapade,PLACE,Location,,IMPORTED,Legacy Project 12 object_id=21; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E011,Carasky Crossbody,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=23; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E012,Galaxy S23 Ultra Negro,PRODUCT,Electronics,,IMPORTED,Legacy Project 12 object_id=24; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E013,Galaxy S23 Ultra Rosa,PRODUCT,Electronics,,IMPORTED,Legacy Project 12 object_id=25; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E014,Lampara Liam,PRODUCT,Furniture,,IMPORTED,Legacy Project 12 object_id=26; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label. High-density legacy track; exhaustive Appearance reconciliation still requires source-level migration QA.
E015,MacBook Air,PRODUCT,Electronics,,IMPORTED,Legacy Project 12 object_id=31; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E016,Traje Slimfit de lana Virgen,PRODUCT,Fashion,Apple,IMPORTED,Legacy Project 12 object_id=33; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E017,Tiffany & Co - Champs Elisses,PLACE,Location,Tiffany & Co,IMPORTED,Legacy Project 12 object_id=35; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E018,Velvet fuchsia jacket & pants,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=36; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E019,Multipass fuchsia,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=37; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E020,Overseas Chronograph,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=38; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
