01 · Scenes,,,,,,,,
Define las escenas. Key Contexts se asignan a Scene; usa hasta 3 listas desplegables si hay varios.,,,,,,,,
,,,,,,,,
scene_id_ref,position,name,start_time,end_time,key_context_1,key_context_2,key_context_3,notes
S01,1,Netflix logo,00:00:00:00,00:00:09:00,,,,"Netflix logo, black background"
S02,2,Paris streets & monuments,00:00:09:00,00:00:12:00,Travel,,,"Eiffel Tower, Seine River, Paris skyline, bridge, establishing shot"
S03,3,Emily and Mindy walk in the street,00:00:12:00,00:01:39:00,Fashion,,,"Two women walking on a Paris street, fashion outfits, handbags, jewelry/accessories, flowers"
S04,4,Paris streets & monuments,00:01:39:00,00:01:44:00,Travel,,,"Paris street, Galerie Patrick Fourtin storefront/signage, historic architecture"
S05,5,Emily in her work office talking with her US boss,00:01:44:00,00:02:44:00,Family,Fashion,,"Office interior, baby stroller/infant carrier, baby products/accessories, floral arrangement, desk objects"
S06,6,Sylvie presenting Agence Grateau success cases,00:02:44:00,00:03:33:00,Fashion,Luxury,,"Office meeting/presentation, product/sample case, garment bag, books, flowers, artwork"
S07,7,Paris streets & monuments,00:03:33:00,00:03:35:00,Travel,,,"Pont Alexandre III, Seine River, Eiffel Tower/Paris skyline, decorative bridge sculpture, establishing shot"
S08,8,Emily messaging with Alfie,00:03:35:00,00:04:34:00,Technology,Fashion,,"Split-screen communication, smartphone, laptop/computer, office desks, desk lamps"
S09,9,Paris streets & monuments,00:04:34:00,00:04:39:00,Travel,,,"Aerial Paris cityscape, Notre-Dame, Seine River, bridges, establishing shot"
S10,10,Emily and her US boss go to Tiffany & Co.,00:04:39:00,00:06:09:00,Luxury,Fashion,,"Tiffany & Co. store/brand, jewelry retail environment, displays, handbags/accessories; Monoprix signage/brand if visible"
S11,11,Emily and her US boss walk in the street,00:06:09:00,00:06:26:00,Fashion,,,"Two women walking on a Paris street, fashion outfits, handbags, eyewear, jewelry/accessories"
S12,12,Emily and her US boss in a meeting,00:06:26:00,00:07:18:00,Fashion,Luxury,Beauty,"Luxury interior, perfume bottle, wristwatch, men's suit, floral arrangements, artwork"
S13,13,Emily and her US boss walk in the street,00:07:18:00,00:07:48:00,Fashion,,,"Two women walking on a Paris street, fashion outfits, handbags, eyewear, jewelry/accessories"
S14,14,Paris street and restaurant,00:07:48:00,00:07:50:00,Travel,Food & Beverage,,"Restaurant/bar exterior, storefront signage, Rue des Fossés Saint-Jacques street sign, 5e arrondissement sign, Paris street"
S15,15,Emily inside a restaurant,00:07:50:00,00:09:07:00,Food & Beverage,Fashion,,"Restaurant bar, bar counter, glassware, cocktail tools, handbag, diners"
S16,16,Emily at dinner with her boyfriend,00:09:07:00,00:10:42:00,Food & Beverage,Luxury,,"Couple dining at restaurant, plated food, wine/water glasses, table setting, upscale restaurant interior"
S17,17,Paris streets & monuments,00:10:42:00,00:10:47:00,Travel,,,"Paris bridge over the Seine at night, illuminated architecture, establishing shot"
S18,18,Emily in her apartment talking with Mindy,00:10:47:00,00:11:58:00,Home & Living,Fashion,,"Apartment kitchen, cookware, kettle, jars, bottles, sink, range hood, two women talking"
